# criterion|kind|target|rationale
1.1|Automated|SubwaySurfers.Player.Tests.FoundationMetaTests.SupportedUnityVersionMatchesSpecification_Requirement_1_1|
1.3|DocumentedRationale|Assets/Player/Documentation/DevelopmentLog.md|Global state, user interface, score, and run coordination are explicitly retained outside player ownership.
1.4|DocumentedRationale|Assets/Player/Documentation/DevelopmentLog.md|Track, running surface, obstruction, and environment object placement are explicitly retained outside player ownership.
1.5|DocumentedRationale|Assets/Player/Documentation/DevelopmentLog.md|Progression, shops, missions, cosmetics, unrelated power-ups, and production balancing remain outside this feature.
1.6|Automated|SubwaySurfers.Player.Tests.FoundationMetaTests.RuntimeAssemblyHasNoProductionOrTestReferences_Requirements_1_3_1_4_1_6_14_12|
11.11|Automated|SubwaySurfers.Player.Tests.FoundationMetaTests.TestAssembliesReferenceOnlyPlayerRuntime_Requirements_11_11_12_13|
12.1|Automated|SubwaySurfers.Player.Tests.FoundationMetaTests.SupportedUnityVersionMatchesSpecification_Requirement_1_1|
12.2|Automated|SubwaySurfers.Player.Tests.FoundationMetaTests.EveryAcceptanceCriterionHasResolvableEvidence_Requirements_12_2_13_5_16_8|
12.13|Automated|SubwaySurfers.Player.Tests.FoundationMetaTests.PlayerAssetsHaveMetaPairs_Requirement_12_13|
13.2|DocumentedRationale|Assets/Player/Documentation/DevelopmentLog.md|The baseline records Rachel-owned global state, user interface, score, and run coordination.
13.3|DocumentedRationale|Assets/Player/Documentation/DevelopmentLog.md|The baseline records Lucky-owned track, surface, obstruction, and environment placement responsibilities.
13.4|DocumentedRationale|Assets/Player/Documentation/DevelopmentLog.md|The baseline records explicit feature exclusions.
14.12|Automated|SubwaySurfers.Player.Tests.FoundationMetaTests.RuntimeAssemblyHasNoProductionOrTestReferences_Requirements_1_3_1_4_1_6_14_12|
